,RUN,N_COMPONENTS,TOPICS_THRESHOLD,NEIGHBORS,QUANTILE_THRESHOLD,orig_avg_accuracy,nmf_avg_accuracy,lda_avg_accuracy,lda_w2v_avg_accuracy,nmf_avg_tags_number_accuracy,lda_avg_tags_number_accuracy,lda_w2v_avg_tags_number_accuracy,nmf_global_accuracy,lda_global_accuracy,lda_global_avg_accuracy,orig_med_accuracy,nmf_med_accuracy,lda_med_accuracy,lda_w2v_med_accuracy,orig_avg_tags_number,nmf_avg_tags_number,lda_avg_tags_number,lda_w2v_avg_tags_number,orig_med_tags_number,nmf_med_tags_number,lda_med_tags_number,lda_w2v_med_tags_number
22,22,10,0.15000000000000002,20,0.75,0.5321383647798742,0.6243522012578616,0.6310440251572327,0.683446540880503,0.46440064105519846,0.4577922075503375,0.45611437438453595,0.5710350145236406,0.5732934192882676,0.607669152048514,0.5321383647798742,0.6243522012578616,0.6310440251572327,0.683446540880503,2.1192452830188677,11.748679245283018,15.790188679245283,12.382641509433963,2.0,11.0,20.0,12.0
23,23,10,0.15000000000000002,20,0.8,0.5321383647798742,0.6151069182389937,0.6292578616352201,0.6714088050314466,0.47768444190655784,0.4605725971907067,0.473597697986536,0.5692994261281817,0.5730294401537156,0.6054717693498097,0.5321383647798742,0.6151069182389937,0.6292578616352201,0.6714088050314466,2.1192452830188677,10.375094339622642,15.286037735849057,10.587169811320754,2.0,10.0,18.0,10.0
24,24,10,0.2,5,0.75,0.5321383647798742,0.5877358490566038,0.5590817610062893,0.6305031446540881,0.5642143657389842,0.5514623619391622,0.547419087500565,0.5798953546173973,0.5565419613172469,0.6028084589362471,0.5321383647798742,0.5877358490566038,0.5590817610062893,0.6305031446540881,2.1192452830188677,6.470188679245283,6.082264150943396,6.771320754716981,2.0,6.0,6.0,6.0
25,25,10,0.2,5,0.8,0.5321383647798742,0.5813836477987421,0.5587044025157233,0.6278364779874214,0.5762295615812365,0.5522214893564582,0.5625409813829786,0.5796656190595736,0.556543431462635,0.606071312452607,0.5321383647798742,0.5813836477987421,0.5587044025157233,0.6278364779874214,2.1192452830188677,6.0347169811320756,6.033207547169812,6.218867924528302,2.0,6.0,6.0,6.0
26,26,10,0.2,10,0.75,0.5321383647798742,0.5928176100628931,0.5909685534591195,0.6468176100628931,0.5242332914340724,0.5107542121819163,0.506090959311344,0.5699561705199528,0.5642304397000517,0.5999087264790434,0.5321383647798742,0.5928176100628931,0.5909685534591195,0.6468176100628931,2.1192452830188677,8.166792452830189,9.247547169811321,8.790943396226416,2.0,7.0,11.0,8.0
27,27,10,0.2,10,0.8,0.5321383647798742,0.5861509433962264,0.5909685534591195,0.6355220125786163,0.5388046586700196,0.5121329080223364,0.5238713742212036,0.5703688484874908,0.5646900049801918,0.5983051331261454,0.5321383647798742,0.5861509433962264,0.5909685534591195,0.6355220125786163,2.1192452830188677,7.403018867924528,9.128301886792453,7.746415094339623,2.0,7.0,11.0,7.0
28,28,10,0.2,15,0.75,0.5321383647798742,0.6048553459119498,0.6031698113207548,0.655182389937107,0.49971931192545593,0.4876378365305211,0.48976419506490987,0.5698100012497852,0.5646591530573436,0.6000429916463746,0.5321383647798742,0.6048553459119498,0.6031698113207548,0.655182389937107,2.1192452830188677,9.360754716981132,12.18867924528302,9.879245283018868,2.0,8.0,15.0,9.0
29,29,10,0.2,15,0.8,0.5321383647798742,0.5927169811320754,0.6022893081761006,0.6411572327044025,0.5156276953550302,0.4895774335719444,0.5043975748227076,0.567020552539727,0.5647186833080485,0.5955706800771708,0.5321383647798742,0.5927169811320754,0.6022893081761006,0.6411572327044025,2.1192452830188677,8.210566037735848,11.837735849056603,8.636981132075471,2.0,8.0,14.0,8.0
30,30,10,0.2,20,0.75,0.5321383647798742,0.616930817610063,0.6261383647798742,0.661496855345912,0.4836699879701055,0.47357197027212045,0.4737636112211541,0.5725105410634105,0.5752828999439562,0.598919107304326,0.5321383647798742,0.616930817610063,0.6261383647798742,0.661496855345912,2.1192452830188677,10.328301886792453,14.91622641509434,10.846792452830188,2.0,10.0,18.0,10.0
31,31,10,0.2,20,0.8,0.5321383647798742,0.6095723270440252,0.6253207547169811,0.651308176100629,0.4970651937675804,0.47575600806662727,0.4910354051457294,0.5720699492852103,0.5754658391668631,0.5978839191156625,0.5321383647798742,0.6095723270440252,0.6253207547169811,0.651308176100629,2.1192452830188677,9.2,14.566792452830189,9.341886792452831,2.0,8.0,17.0,9.0
32,32,10,0.25,5,0.75,0.5321383647798742,0.5842138364779874,0.5580754716981132,0.6169559748427673,0.5722782147755231,0.5601918089494964,0.5598286649776143,0.5802352959104993,0.5587809174485743,0.5979135382210496,0.5321383647798742,0.5842138364779874,0.5580754716981132,0.6169559748427673,2.1192452830188677,6.133584905660378,5.852075471698114,6.2686792452830185,2.0,6.0,6.0,6.0
33,33,10,0.25,5,0.8,0.5321383647798742,0.5769811320754717,0.5576981132075473,0.6042515723270441,0.5857238694633463,0.5610706261055076,0.5745330545454878,0.5798953778714299,0.5588222841735341,0.594345399733192,0.5321383647798742,0.5769811320754717,0.5576981132075473,0.6042515723270441,2.1192452830188677,5.72,5.801509433962265,5.744905660377358,2.0,5.0,6.0,5.0
34,34,10,0.25,10,0.75,0.5321383647798742,0.5897987421383648,0.5898364779874213,0.6305911949685534,0.5370116737658805,0.5211324404371084,0.5213229857447627,0.57220305268087,0.566935132137317,0.5941684585606232,0.5321383647798742,0.5897987421383648,0.5898364779874213,0.6305911949685534,2.1192452830188677,7.603018867924528,8.80377358490566,7.909433962264151,2.0,7.0,11.0,8.0
35,35,10,0.25,10,0.8,0.5321383647798742,0.5838867924528302,0.5894591194968554,0.6210314465408805,0.5515826829592536,0.5228850074116297,0.5387651487743095,0.5731187559549713,0.5672677488017802,0.5936093472853569,0.5321383647798742,0.5838867924528302,0.5894591194968554,0.6210314465408805,2.1192452830188677,6.929056603773585,8.670188679245284,7.039245283018868,2.0,6.0,11.0,7.0
36,36,10,0.25,15,0.75,0.5321383647798742,0.597748427672956,0.6004025157232704,0.6358113207547169,0.5155519083439135,0.5006422553540334,0.5034271700657045,0.5703495878966085,0.5671490956001914,0.5916832705250461,0.5321383647798742,0.597748427672956,0.6004025157232704,0.6358113207547169,2.1192452830188677,8.528301886792454,11.350188679245283,8.837735849056603,2.0,8.0,14.0,9.0
37,37,10,0.25,15,0.8,0.5321383647798742,0.587748427672956,0.5991446540880503,0.6283270440251572,0.5309008064968043,0.5028176038158587,0.5217097429468306,0.5687992206142387,0.5670356373306531,0.592787943665715,0.5321383647798742,0.587748427672956,0.5991446540880503,0.6283270440251572,2.1192452830188677,7.581132075471698,11.13811320754717,7.690566037735849,2.0,7.0,13.0,7.0
38,38,10,0.25,20,0.75,0.5321383647798742,0.6117735849056604,0.6194465408805031,0.6444528301886793,0.49788123898196857,0.48702762943595773,0.4911992621381014,0.5738094695977631,0.5753069037323213,0.5933683075051533,0.5321383647798742,0.6117735849056604,0.6194465408805031,0.6444528301886793,2.1192452830188677,9.375849056603773,13.732830188679245,9.49811320754717,2.0,8.0,16.0,9.0
39,39,10,0.25,20,0.8,0.5321383647798742,0.6022767295597484,0.618817610062893,0.6352075471698114,0.5102499416923567,0.48807386957232374,0.5093519796986167,0.5716011336039512,0.5752363632327032,0.5932556913460799,0.5321383647798742,0.6022767295597484,0.618817610062893,0.6352075471698114,2.1192452830188677,8.50867924528302,13.48,8.238490566037736,2.0,8.0,15.0,8.0
40,40,10,0.3,5,0.75,0.5321383647798742,0.58,0.5567547169811321,0.6051572327044026,0.5834597634911074,0.5716222384760081,0.5667901560223038,0.5811532544970358,0.5617105574794241,0.592368207143703,0.5321383647798742,0.58,0.5567547169811321,0.6051572327044026,2.1192452830188677,5.780377358490566,5.6407547169811325,5.9441509433962265,2.0,5.0,6.0,6.0
41,41,10,0.3,5,0.8,0.5321383647798742,0.5757232704402515,0.5567547169811321,0.5938364779874213,0.5971850638969429,0.5719897153062891,0.5829958174886929,0.582877201592482,0.5618330497561844,0.5902229244878452,0.5321383647798742,0.5757232704402515,0.5567547169811321,0.5938364779874213,2.1192452830188677,5.447547169811321,5.608301886792453,5.5403773584905665,2.0,5.0,6.0,5.0
42,42,10,0.3,10,0.75,0.5321383647798742,0.5845157232704402,0.5875094339622642,0.6144905660377358,0.5513204845434421,0.5383165087725782,0.5393283887505302,0.5734506436947742,0.5711117922323689,0.5894365069420006,0.5321383647798742,0.5845157232704402,0.5875094339622642,0.6144905660377358,2.1192452830188677,7.067924528301887,8.27245283018868,7.100377358490566,2.0,6.0,11.0,7.0
